VAR3	StepID	x	y	finalcl	STEPLENGTH	TURNANGLE	BEARING	BRGPREV	NETDISP	arrival_bearing	next_bearing	bearing2targetmead	dist2targetmead	observed	landcover	bearing2pixel	bearing2gap	dist2gap	strata	Xdp	Xtm	XtmDtm_0	XtmDtm_pos0_5	XtmDtm_neg0_5	Xcg	XcgDcg_0	XcgDcg_pos0_5	XcgDcg_neg0_5	conifer	decid	meadow
10	2	387164.0742	5952501.17	0	10	-2.60E-10	219.9900343	219.9900343	10	-2.268754276	-2.268754199	-2.223519986	619.7226998	1	4	-2.35619449	-2.727936056	239.2535647	1	0.99617954	0.991211641	0.991211641	24.67545081	0.039816923	0.931696155	0.931696155	14.4113117	0.06023447	0	1	0
10	3	387157.6477	5952493.509	0	10	0	219.9900343	219.9900343	20	-2.268754199	-2.268754276	-2.22277837	609.7330986	1	4	-2.35619449	-2.74717967	230.3320591	12	0.996179533	0.991113263	0.991113263	24.47333603	0.040137785	0.924534057	0.924534057	14.03137103	0.060918012	0	1	0
10	4	387151.2211	5952485.847	0	10	0	219.9900343	219.9900343	30	-2.268754276	-2.268753633	-2.222012048	599.7438433	1	4	-2.35619449	-2.767965648	221.5027002	23	0.99617954	0.991011035	0.991011035	24.26953133	0.040466495	0.916413385	0.916413385	13.63894996	0.061574644	0	1	0
10	5	387144.7946	5952478.186	0	10	-2.60E-10	219.9900343	219.9900343	40	-2.268753633	-2.268754199	-2.221219776	589.7549441	1	6	-2.35619449	-2.790466889	212.7769569	34	0.996179483	0.990904734	0.990904734	24.06399333	0.040803377	0.907176421	0.907176421	13.23287013	0.062191274	0	0	0
10	6	387138.3681	5952470.524	0	9.999976086	-0.17542	219.8146059	219.9900343	50	-2.268754199	-2.265692601	-2.220400196	579.7664365	1	4	-2.35619449	-2.814878884	204.1681233	45	0.996179533	0.990794114	0.990794114	23.85667713	0.041148772	0.896635783	0.896635783	12.8117966	0.062751209	0	1	0
10	7	387131.965	5952462.843	0	10	-0.08949	219.7251068	219.8146059	59.99993702	-2.265692601	-2.264129962	-2.219605555	569.7768992	1	6	-2.35619449	-2.841553985	195.7082763	56	0.995907499	0.990686225	0.990686225	23.64768018	0.041503403	0.884507293	0.884507293	12.37388324	0.063226162	0	0	0
10	8	387125.574	5952455.152	0	10	0	219.7251068	219.7251068	69.9998645	-2.264129962	-2.264130601	-2.218810436	559.7869834	1	6	-2.35619449	-2.870685168	187.4090724	63	0.995765054	0.990577645	0.990577645	23.4368867	0.041867509	0.870543468	0.870543468	11.91751664	0.063590927	0	0	0
10	9	387119.1829	5952447.461	0	9.932564113	-23.0991	196.6259763	219.7251068	79.99981011	-2.264130601	-1.860974132	-2.217986412	549.7974424	1	4	-1.570796327	-2.902485958	179.283553	64	0.769119342	0.797781176	0.797781176	18.70618143	0.034023769	0.236834831	0.236834831	3.171142801	0.017687862	0	1	0
10	10	387116.341	5952437.943	0	10	-1.89696	194.7290122	196.6259763	89.21037326	-1.860974132	-1.827866124	-2.22440863	540.5023148	1	4	-1.570796327	-2.951643315	174.4792076	65	0.958193017	0.793892493	0.793892493	18.45697289	0.034147815	0.188809145	0.188809145	2.493990906	0.014293915	0	1	0
10	11	387113.7985	5952428.272	0	10	0	194.7290122	194.7290122	98.51434145	-1.827866124	-1.827866124	-2.231678353	531.2923361	1	4	-1.570796327	-3.004588532	170.395183	2	0.967139127	0.789451139	0.789451139	18.1966747	0.034249835	0.136575927	0.136575927	1.782800767	0.010462742	0	1	0
