id;day;month;year;hour;min;sec;lat;long
1045-b;4;3;2015;19;46;27;53.766681;-106.61954
1045-b;4;3;2015;21;0;47;53.758631;-106.621389
1045-b;4;3;2015;22;0;47;53.763098;-106.609671
1045-b;4;3;2015;23;0;16;53.75464;-106.60596
1045-b;5;3;2015;0;0;19;53.75742;-106.585275
1045-b;5;3;2015;1;0;48;53.752269;-106.587962
1045-b;5;3;2015;2;0;47;53.752197;-106.587905
1045-b;5;3;2015;3;0;47;53.752113;-106.586174
1045-b;5;3;2015;4;1;3;53.75225;-106.587843
1045-b;5;3;2015;5;1;24;53.755714;-106.570164
1045-b;5;3;2015;6;3;5;53.733761;-106.550582
1045-b;5;3;2015;7;0;47;53.746167;-106.582782
1045-b;5;3;2015;8;0;46;53.750665;-106.588361
1045-b;5;3;2015;9;0;48;53.752644;-106.600045
1045-b;5;3;2015;10;1;3;53.758232;-106.609601
1045-b;5;3;2015;11;2;3;53.759204;-106.612348
1045-b;5;3;2015;12;0;43;53.769056;-106.62182
1045-b;5;3;2015;13;0;34;53.769881;-106.621964
1045-b;5;3;2015;14;0;48;53.772089;-106.623533
1045-b;5;3;2015;15;0;46;53.773096;-106.635022
1045-b;5;3;2015;16;0;47;53.771228;-106.632993
1045-b;5;3;2015;17;0;41;53.771329;-106.632773
1045-b;5;3;2015;18;1;27;53.76798;-106.635625
1045-b;5;3;2015;19;0;52;53.769984;-106.662481
1045-b;5;3;2015;20;0;47;53.755597;-106.654433
1045-b;5;3;2015;21;1;57;53.757262;-106.644521
1045-b;5;3;2015;22;3;4;53.756008;-106.629304
1045-b;5;3;2015;23;1;34;53.739503;-106.63144
1045-b;6;3;2015;0;0;26;53.740081;-106.627202
1045-b;6;3;2015;1;1;4;53.731781;-106.61439
1045-b;6;3;2015;2;0;48;53.731602;-106.61496
1045-b;6;3;2015;3;0;17;53.731505;-106.615008
1045-b;6;3;2015;4;0;38;53.731594;-106.61491
1045-b;6;3;2015;5;0;48;53.731576;-106.614948
1045-b;6;3;2015;6;1;8;53.73178;-106.614013
1045-b;6;3;2015;7;1;4;53.731724;-106.610823
1045-b;6;3;2015;8;0;41;53.731146;-106.611302
1045-b;6;3;2015;9;0;47;53.731786;-106.610964
1045-b;6;3;2015;10;0;48;53.731717;-106.610913
1045-b;6;3;2015;11;0;40;53.731441;-106.610342
1045-b;6;3;2015;12;0;47;53.731479;-106.610558
1045-b;6;3;2015;13;0;9;53.731453;-106.610547
1045-b;6;3;2015;14;0;46;53.731548;-106.610481
1045-b;6;3;2015;15;0;47;53.731445;-106.61053
1045-b;6;3;2015;16;0;21;53.731533;-106.610502
1045-b;6;3;2015;17;0;27;53.731842;-106.610883
1045-b;6;3;2015;18;0;46;53.731612;-106.610868
1045-b;6;3;2015;19;0;46;53.731503;-106.612226
1045-b;6;3;2015;20;0;46;53.731764;-106.611588
1045-b;6;3;2015;21;0;46;53.731841;-106.614268
1045-b;6;3;2015;22;0;41;53.731348;-106.615783
1045-b;6;3;2015;23;0;12;53.731465;-106.615911
1045-b;7;3;2015;0;0;38;53.73139;-106.615623
1045-b;7;3;2015;1;0;27;53.733654;-106.61409
1045-b;7;3;2015;2;0;47;53.734023;-106.614036
1045-b;7;3;2015;3;0;47;53.733594;-106.614415
1045-b;7;3;2015;4;0;46;53.73389;-106.61403
1045-b;7;3;2015;5;0;47;53.734056;-106.613967
1045-b;7;3;2015;6;0;35;53.733951;-106.614112
1045-b;7;3;2015;7;0;48;53.733964;-106.61412
1045-b;7;3;2015;8;0;34;53.734219;-106.614727
1045-b;7;3;2015;9;0;47;53.734135;-106.61485
1045-b;7;3;2015;10;0;6;53.73476;-106.615416
1045-b;7;3;2015;11;0;41;53.735134;-106.615569
1045-b;7;3;2015;12;0;47;53.734843;-106.615724
1045-b;7;3;2015;13;0;12;53.734906;-106.615542
1045-b;7;3;2015;14;0;46;53.734935;-106.615481
1045-b;7;3;2015;15;0;47;53.734953;-106.615468
1045-b;7;3;2015;16;0;18;53.734628;-106.615579
1045-b;7;3;2015;17;0;47;53.734787;-106.615963
1045-b;7;3;2015;18;0;29;53.739804;-106.617252
1045-b;7;3;2015;19;0;46;53.740012;-106.617346
1045-b;7;3;2015;20;0;47;53.739711;-106.617588
1045-b;7;3;2015;21;0;47;53.739651;-106.617689
1045-b;7;3;2015;22;0;48;53.740185;-106.618574
1045-b;7;3;2015;23;0;43;53.740041;-106.618024
1045-b;8;3;2015;0;0;13;53.740136;-106.618131
1045-b;8;3;2015;3;0;51;53.739511;-106.618445
1045-b;8;3;2015;6;0;50;53.739753;-106.618177
1045-b;8;3;2015;9;0;58;53.739672;-106.618503
1045-b;8;3;2015;12;0;49;53.740299;-106.617777
1045-b;8;3;2015;15;0;51;53.740299;-106.61778
1045-b;8;3;2015;18;1;22;53.74138;-106.618424
1045-b;8;3;2015;21;0;49;53.741041;-106.618086
1045-b;9;3;2015;0;1;4;53.741273;-106.618703
1045-b;9;3;2015;3;0;52;53.741111;-106.618341
1045-b;9;3;2015;6;0;51;53.74113;-106.618113
1045-b;9;3;2015;9;0;49;53.741031;-106.617734
1045-b;9;3;2015;12;0;49;53.741524;-106.619174
1045-b;9;3;2015;15;0;35;53.741536;-106.619481
1045-b;9;3;2015;18;1;20;53.741341;-106.619727
1045-b;9;3;2015;21;1;3;53.74156;-106.619171
1045-b;10;3;2015;0;1;34;53.741103;-106.620125
1045-b;10;3;2015;3;0;49;53.741251;-106.619991
1045-b;10;3;2015;6;0;53;53.741252;-106.619974
1045-b;10;3;2015;9;0;57;53.74113;-106.619816
1045-b;10;3;2015;12;0;35;53.741337;-106.6196
1045-b;10;3;2015;15;1;13;53.741457;-106.619224
1045-b;10;3;2015;18;1;21;53.741444;-106.619471
1045-b;10;3;2015;21;0;51;53.741448;-106.619299
1045-b;11;3;2015;0;0;36;53.741242;-106.619445
1045-b;11;3;2015;1;0;26;53.741313;-106.619489
1045-b;11;3;2015;2;0;46;53.741385;-106.619089
1045-b;11;3;2015;3;0;36;53.74139;-106.618759
1045-b;11;3;2015;4;0;16;53.741303;-106.61881
1045-b;11;3;2015;5;0;46;53.741431;-106.618806
1045-b;11;3;2015;6;0;48;53.741363;-106.618741
1045-b;11;3;2015;7;0;48;53.741403;-106.618718
1045-b;11;3;2015;8;0;49;53.741213;-106.619416
1045-b;11;3;2015;9;0;22;53.741163;-106.61941
1045-b;11;3;2015;10;0;46;53.741313;-106.619609
1045-b;11;3;2015;11;0;39;53.741463;-106.619284
1045-b;11;3;2015;12;0;34;53.741477;-106.61925
1045-b;11;3;2015;13;0;18;53.741455;-106.619182
1045-b;11;3;2015;14;0;46;53.741482;-106.619359
1045-b;11;3;2015;15;0;34;53.741477;-106.619259
1045-b;11;3;2015;16;0;11;53.74145;-106.619264
1045-b;11;3;2015;17;0;47;53.740682;-106.616311
1045-b;11;3;2015;18;1;4;53.740533;-106.615545
1045-b;11;3;2015;19;0;39;53.74081;-106.616575
1045-b;11;3;2015;20;0;46;53.740965;-106.618228
1045-b;11;3;2015;21;0;8;53.741006;-106.617905
1045-b;11;3;2015;22;0;38;53.741333;-106.61856
1045-b;11;3;2015;23;0;48;53.741238;-106.618634
1045-b;12;3;2015;0;0;16;53.741125;-106.619178
1045-b;12;3;2015;1;0;46;53.741333;-106.619015
1045-b;12;3;2015;2;0;43;53.741095;-106.618575
1045-b;12;3;2015;3;0;34;53.741322;-106.619135
1045-b;12;3;2015;4;0;43;53.741356;-106.618652
1045-b;12;3;2015;5;0;50;53.74143;-106.618775
1045-b;12;3;2015;6;0;7;53.741431;-106.618851
1045-b;12;3;2015;7;0;47;53.741412;-106.618699
1045-b;12;3;2015;8;0;37;53.74143;-106.618734
1045-b;12;3;2015;9;0;12;53.741364;-106.6188
1045-b;12;3;2015;10;0;46;53.741465;-106.618921
1045-b;12;3;2015;11;0;36;53.74108;-106.618509
1045-b;12;3;2015;12;0;34;53.741158;-106.619213
1045-b;12;3;2015;13;0;35;53.741169;-106.619196
1045-b;12;3;2015;14;0;7;53.741182;-106.619239
1045-b;12;3;2015;15;0;47;53.741129;-106.619251
1045-b;12;3;2015;16;0;35;53.741067;-106.619242
1045-b;12;3;2015;17;0;21;53.741006;-106.618434
1045-b;12;3;2015;18;0;46;53.740417;-106.616208
